pathway,Biodomain
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,Proteostasis
GOBP_RECOMBINATIONAL_REPAIR,DNA Repair
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,DNA Repair
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,"Based on the pathway name ""GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,"" the most appropriate biodomain to assign would be **DNA Repair**. This is because the formation of extrachromosomal circular DNA is often associated with processes related to DNA replication, repair, and maintenance, particularly in the context of certain cellular responses and mechanisms involving DNA."
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE,Reproductive Biology
GOBP_FATTY_ACID_ALPHA_OXIDATION,Lipid Metabolism
GOBP_NATURAL_KILLER_CELL_PROLIFERATION,Immune Response
GOBP_RECEPTOR_RECYCLING,Endolysosome
GOBP_CELL_KILLING,Immune Response
GOBP_AUTOPHAGY_OF_MITOCHONDRION,Autophagy
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,Proteostasis
GOBP_RECOMBINATIONAL_REPAIR,DNA Repair
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,DNA Repair
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,DNA Repair
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE,Reproductive Biology
GOBP_FATTY_ACID_ALPHA_OXIDATION,Lipid Metabolism
GOBP_NATURAL_KILLER_CELL_PROLIFERATION,Immune Response
GOBP_RECEPTOR_RECYCLING,Endolysosome
GOBP_CELL_KILLING,Immune Response
GOBP_BLOOD_VESSEL_MATURATION,Vasculature
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE,Synapse
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION,"Based on the pathway name ""GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION,"" the most appropriate biodomain to assign would be **Epithelial Development**. This pathway likely relates to the maturation processes of epithelial cells, which are crucial for the formation and function of epithelial tissues in various organs."
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Immune Response
GOBP_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Immune Response
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,Immune Response
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,Immune Response
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_SOMATIC_MUTATION,Immune Response
GOBP_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,Immune Response
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Immune Response
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Immune Response
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,Immune Response
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Immune Response
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,Immune Response
GOBP_REGULATION_OF_HYPERSENSITIVITY,Immune Response
GOBP_SKELETAL_MUSCLE_CONTRACTION,Muscle Physiology
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION_BY_CHEMICAL_SIGNAL,Vasculature
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,Vasculature
GOBP_HEART_VALVE_FORMATION,Vasculature
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION,Vasculature
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION,Cardiac Development
GOBP_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS,Vasculature
GOBP_ENDOCARDIAL_CUSHION_FUSION,Vasculature
GOBP_NORADRENERGIC_NEURON_DEVELOPMENT,Synapse
GOBP_CHONDROCYTE_HYPERTROPHY,Cartilage Development
